Date,Close
2022-07-15,"1,6329"
2022-07-14,"1,6776"
2022-07-13,"1,6098"
2022-07-12,"1,5886"
2022-07-11,"1,6741"
2022-07-08,"1,7479"
2022-07-07,"1,7414"
2022-07-06,"1,6223"
2022-07-05,"1,6623"
2022-07-04,"1,7889"
2022-07-01,"1,6777"
2022-06-30,"1,8101"
2022-06-29,"2,0039"
2022-06-28,"2,1037"
2022-06-27,"2,0291"
2022-06-24,"1,9173"
2022-06-23,"1,9329"
2022-06-22,"2,1901"
2022-06-21,"2,3176"
2022-06-20,"2,2981"
2022-06-17,"2,204"
2022-06-16,"2,3017"
2022-06-15,"2,2069"
2022-06-14,"2,3898"
2022-06-13,"2,1941"
2022-06-10,"1,9948"
2022-06-09,"1,886"
2022-06-08,"1,7755"
2022-06-07,"1,7297"
2022-06-06,"1,7471"
2022-06-03,"1,7166"
2022-06-02,"1,6704"
2022-06-01,"1,5867"
2022-05-31,"1,5154"
2022-05-30,"1,4566"
2022-05-27,"1,3901"
2022-05-26,"1,4028"
2022-05-25,"1,3813"
2022-05-24,"1,3774"
2022-05-23,"1,4215"
2022-05-20,"1,354"
2022-05-19,"1,4139"
2022-05-18,"1,428"
2022-05-17,"1,4238"
2022-05-16,"1,3249"
2022-05-13,"1,335"
2022-05-12,"1,3032"
2022-05-11,"1,4318"
2022-05-10,"1,5106"
2022-05-09,"1,5912"
2022-05-06,"1,633"
2022-05-05,"1,5239"
2022-05-04,"1,4927"
2022-05-03,"1,4904"
2022-05-02,"1,4602"
2022-04-29,"1,4427"
2022-04-28,"1,3922"
2022-04-27,"1,2814"
2022-04-26,"1,3069"
2022-04-25,"1,3241"
2022-04-22,"1,4423"
2022-04-21,"1,3948"
2022-04-20,"1,2812"
2022-04-19,"1,3207"
2022-04-18,
2022-04-15,"1,3003"
2022-04-14,"1,3034"
2022-04-13,"1,251"
2022-04-12,"1,2497"
2022-04-11,"1,281"
2022-04-08,"1,2067"
2022-04-07,"1,1313"
2022-04-06,"1,0949"
2022-04-05,"1,0957"
2022-04-04,"1,0028"
2022-04-01,"1,0115"
2022-03-31,"0,9889"
2022-03-30,"1,1135"
2022-03-29,"1,0539"
2022-03-28,"0,9804"
2022-03-25,"0,9835"
2022-03-24,"0,8972"
2022-03-23,"0,8087"
2022-03-22,"0,847"
2022-03-21,"0,8076"
2022-03-18,"0,7483"
2022-03-17,"0,7456"
2022-03-16,"0,7892"
2022-03-15,"0,7461"
2022-03-14,"0,769"
2022-03-11,"0,6958"
2022-03-10,"0,6691"
2022-03-09,"0,5698"
2022-03-08,"0,5324"
2022-03-07,"0,4349"
2022-03-04,"0,3937"
2022-03-03,"0,4552"
2022-03-02,"0,4256"
2022-03-01,"0,3357"
2022-02-28,"0,466"
2022-02-25,"0,6258"
2022-02-24,"0,567"
2022-02-23,"0,6318"
2022-02-22,"0,6033"
2022-02-21,"0,562"
2022-02-18,"0,5297"
2022-02-17,"0,5703"
2022-02-16,"0,6106"
2022-02-15,"0,6384"
2022-02-14,"0,6694"
2022-02-11,"0,6614"
2022-02-10,"0,6828"
2022-02-09,"0,5503"
2022-02-08,"0,5963"
2022-02-07,"0,5434"
2022-02-04,"0,5122"
2022-02-03,"0,4263"
2022-02-02,"0,283"
2022-02-01,"0,2504"
2022-01-31,"0,2395"
2022-01-28,"0,1726"
2022-01-27,"0,1404"
2022-01-26,"0,1143"
2022-01-25,"0,1154"
2022-01-24,"0,0836"
2022-01-21,"0,1079"
2022-01-20,"0,1246"
2022-01-19,"0,1275"
2022-01-18,"0,133"
2022-01-17,"0,126"
2022-01-14,"0,1072"
2022-01-13,"0,06"
2022-01-12,"0,0802"
2022-01-11,"0,1118"
2022-01-10,"0,0926"
2022-01-07,"0,0822"
2022-01-06,"0,0611"
2022-01-05,"0,0356"
2022-01-04,"0,0463"
2022-01-03,"0,0508"
2021-12-31,"0,0235"
2021-12-30,"0,0223"
2021-12-29,"0,0295"
2021-12-28,"−0,0023"
2021-12-27,"−0,008"
2021-12-24,"−0,0232"
2021-12-23,"−0,022"
2021-12-22,"−0,0526"
2021-12-21,"−0,0719"
2021-12-20,"−0,116"
2021-12-17,"−0,1262"
2021-12-16,"−0,1119"
2021-12-15,"−0,1014"
2021-12-14,"−0,1211"
2021-12-13,"−0,1333"
2021-12-10,"−0,1138"
2021-12-09,"−0,119"
2021-12-08,"−0,0862"
2021-12-07,"−0,1117"
2021-12-06,"−0,1295"
2021-12-03,"−0,1408"
2021-12-02,"−0,1269"
2021-12-01,"−0,113"
2021-11-30,"−0,1175"
2021-11-29,"−0,1159"
2021-11-26,"−0,1391"
2021-11-25,"−0,0755"
2021-11-24,"−0,0658"
2021-11-23,"−0,0594"
2021-11-22,"−0,1108"
2021-11-19,"−0,1359"
2021-11-18,"−0,0835"
2021-11-17,"−0,0797"
2021-11-16,"−0,0614"
2021-11-15,"−0,0598"
2021-11-12,"−0,0641"
2021-11-11,"−0,0261"
2021-11-10,"−0,0641"
2021-11-09,"−0,146"
2021-11-08,"−0,1244"
2021-11-05,"−0,1508"
2021-11-04,"−0,137"
2021-11-03,"−0,03"
2021-11-02,"−0,0458"
2021-11-01,"0,0335"
2021-10-29,"0,0518"
2021-10-28,"−0,01"
2021-10-27,"−0,0491"
2021-10-26,"−0,0312"
2021-10-25,"−0,0386"
2021-10-22,"−0,0202"
2021-10-21,"−0,037"
2021-10-20,"−0,0774"
2021-10-19,"−0,0447"
2021-10-18,"−0,0624"
2021-10-15,"−0,1203"
2021-10-14,"−0,1447"
2021-10-13,"−0,0849"
2021-10-12,"−0,07"
2021-10-11,"−0,0984"
2021-10-08,"−0,1356"
2021-10-07,"−0,1741"
2021-10-06,"−0,1727"
2021-10-05,"−0,1766"
2021-10-04,"−0,2024"
2021-10-01,"−0,2042"
2021-09-30,"−0,1906"
2021-09-29,"−0,185"
2021-09-28,"−0,1736"
2021-09-27,"−0,1886"
2021-09-24,"−0,1936"
2021-09-23,"−0,2076"
2021-09-22,"−0,2605"
2021-09-21,"−0,2547"
2021-09-20,"−0,2556"
2021-09-17,"−0,2451"
2021-09-16,"−0,2645"
2021-09-15,"−0,2686"
2021-09-14,"−0,2877"
2021-09-13,"−0,2798"
2021-09-10,"−0,2822"
2021-09-09,"−0,3072"
2021-09-08,"−0,2841"
2021-09-07,"−0,2871"
2021-09-06,"−0,3076"
2021-09-03,"−0,3126"
2021-09-02,"−0,3317"
2021-09-01,"−0,322"
2021-08-31,"−0,3283"
2021-08-30,"−0,3565"
2021-08-27,"−0,3471"
2021-08-26,"−0,3435"
2021-08-25,"−0,3532"
2021-08-24,"−0,3759"
2021-08-23,"−0,3746"
2021-08-20,"−0,3792"
2021-08-19,"−0,378"
2021-08-18,"−0,3701"
2021-08-17,"−0,3676"
2021-08-16,"−0,3667"
2021-08-13,"−0,3702"
2021-08-12,"−0,3609"
2021-08-11,"−0,3699"
2021-08-10,"−0,3581"
2021-08-09,"−0,3611"
2021-08-06,"−0,3572"
2021-08-05,"−0,3819"
2021-08-04,"−0,385"
2021-08-03,"−0,3796"
2021-08-02,"−0,3762"
2021-07-30,"−0,3593"
2021-07-29,"−0,3562"
2021-07-28,"−0,352"
2021-07-27,"−0,3542"
2021-07-26,"−0,3432"
2021-07-23,"−0,3473"
2021-07-22,"−0,3463"
2021-07-21,"−0,3271"
2021-07-20,"−0,3415"
2021-07-19,"−0,3329"
2021-07-16,"−0,314"
2021-07-15,"−0,3088"
2021-07-14,"−0,3034"
2021-07-13,"−0,2928"
